"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","1","14","comma-spacing","A space is required after ','.","https://eslint.org/docs/latest/rules/comma-spacing","layout","eslint-lwc"
"2","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","1","15","sort-imports","Member 'api' of the import declaration should be sorted alphabetically.","https://eslint.org/docs/latest/rules/sort-imports","suggestion","eslint-lwc"
"3","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","1","36","object-curly-spacing","There should be no space before '}'.","https://eslint.org/docs/latest/rules/object-curly-spacing","layout","eslint-lwc"
"4","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","1","44","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"5","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","2","9","object-curly-spacing","There should be no space after '{'.","https://eslint.org/docs/latest/rules/object-curly-spacing","layout","eslint-lwc"
"6","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","2","24","object-curly-spacing","There should be no space before '}'.","https://eslint.org/docs/latest/rules/object-curly-spacing","layout","eslint-lwc"
"7","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","2","32","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"8","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","3","1","max-len","This line has a length of 97. Maximum allowed is 80.","https://eslint.org/docs/latest/rules/max-len","layout","eslint-lwc"
"9","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","3","36","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"10","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","4","24","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"11","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","5","16","@lwc/lwc/consistent-component-name","Lightning component class should be named ""FetchProjectDetails"".","https://github.com/salesforce/eslint-plugin-lwc/blob/v1.6.3/docs/rules/consistent-component-name.md","problem","eslint-lwc"
"12","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","5","67","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"13","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","7","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"14","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","7","33","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"15","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","8","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"16","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","8","23","space-infix-ops","Operator '=' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"17","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","9","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"18","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","9","16","space-infix-ops","Operator '=' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"19","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","10","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"20","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","11","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"21","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","11","19","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"22","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","11","27","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"23","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","13","18","space-infix-ops","Operator '=' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"24","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","13","37","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"25","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","13","37","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"26","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","15","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"27","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","15","12","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"28","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","15","15","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"29","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","16","40","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"30","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","20","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"31","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","21","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"32","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","22","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"33","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","23","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"34","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","24","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"35","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","25","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"36","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","26","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"37","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","26","20","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"38","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","27","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"39","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","27","19","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"40","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","27","27","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"41","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","28","15","prefer-destructuring","Use array destructuring.","https://eslint.org/docs/latest/rules/prefer-destructuring","suggestion","eslint-lwc"
"42","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","28","41","no-magic-numbers","No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers","suggestion","eslint-lwc"
"43","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","28","43","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"44","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","29","9","no-var","Unexpected var, use let or const instead.","https://eslint.org/docs/latest/rules/no-var","suggestion","eslint-lwc"
"45","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","29","38","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"46","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","30","31","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"47","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","31","13","no-var","Unexpected var, use let or const instead.","https://eslint.org/docs/latest/rules/no-var","suggestion","eslint-lwc"
"48","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","31","17","prefer-destructuring","Use array destructuring.","https://eslint.org/docs/latest/rules/prefer-destructuring","suggestion","eslint-lwc"
"49","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","31","46","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"50","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","31","51","no-magic-numbers","No magic number: 1.","https://eslint.org/docs/latest/rules/no-magic-numbers","suggestion","eslint-lwc"
"51","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","31","53","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"52","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","33","17","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"53","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","34","17","sort-keys","Expected object keys to be in ascending order. 'base64' should be before 'filename'.","https://eslint.org/docs/latest/rules/sort-keys","suggestion","eslint-lwc"
"54","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","34","17","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"55","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","34","17","object-shorthand","Expected property shorthand.","https://eslint.org/docs/latest/rules/object-shorthand","suggestion","eslint-lwc"
"56","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","35","17","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"57","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","36","14","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"58","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","37","13","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"59","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","37","39","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"60","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","37","39","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"61","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","38","10","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"62","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","39","35","semi","Missing semicolon.","https://eslint.org/docs/latest/rules/semi","layout","eslint-lwc"
"63","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","40","1","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"64","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","42","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"65","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","42","29","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"66","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","42","42","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"67","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","43","1","indent","Expected indentation of 8 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"68","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","43","44","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"69","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","44","1","indent","Expected indentation of 8 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"70","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","44","13","one-var","Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var","suggestion","eslint-lwc"
"71","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","44","19","prefer-destructuring","Use array destructuring.","https://eslint.org/docs/latest/rules/prefer-destructuring","suggestion","eslint-lwc"
"72","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","44","46","no-magic-numbers","No magic number: 0.","https://eslint.org/docs/latest/rules/no-magic-numbers","suggestion","eslint-lwc"
"73","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","45","1","indent","Expected indentation of 8 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"74","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","45","13","one-var","Combine this with the previous 'const' statement.","https://eslint.org/docs/latest/rules/one-var","suggestion","eslint-lwc"
"75","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","45","19","prefer-destructuring","Use array destructuring.","https://eslint.org/docs/latest/rules/prefer-destructuring","suggestion","eslint-lwc"
"76","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","45","35","no-magic-numbers","No magic number: 1.","https://eslint.org/docs/latest/rules/no-magic-numbers","suggestion","eslint-lwc"
"77","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","1","max-len","This line has a length of 101. Maximum allowed is 80.","https://eslint.org/docs/latest/rules/max-len","layout","eslint-lwc"
"78","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","1","indent","Expected indentation of 8 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"79","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","39","prefer-template","Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template","suggestion","eslint-lwc"
"80","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","60","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"81","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","85","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"82","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","46","99","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"83","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","1","indent","Expected indentation of 8 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"84","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","13","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"85","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","25","prefer-template","Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template","suggestion","eslint-lwc"
"86","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","25","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"87","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","49","space-infix-ops","Operator '+' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"88","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","47","75","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"89","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","49","1","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"90","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","50","16","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"91","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","50","18","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
