"Problem","Severity","Normalized Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"92","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","50","18","space-before-blocks","Missing space before opening brace.","https://eslint.org/docs/latest/rules/space-before-blocks","layout","eslint-lwc"
"93","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","51","1","indent","Expected indentation of 8 spaces but found 7.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"94","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","51","24","space-infix-ops","Operator '=' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"95","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","52","1","indent","Expected indentation of 8 spaces but found 7.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"96","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","1","indent","Expected indentation of 8 spaces but found 7.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"97","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","8","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"98","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","20","prefer-template","Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template","suggestion","eslint-lwc"
"99","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","20","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"100","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","53","44","space-infix-ops","Operator '+' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"101","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","54","1","indent","Expected indentation of 8 spaces but found 6.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"102","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","54","7","capitalized-comments","Comments should not begin with a lowercase character.","https://eslint.org/docs/latest/rules/capitalized-comments","suggestion","eslint-lwc"
"103","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","55","1","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"104","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","1","max-len","This line has a length of 84. Maximum allowed is 80.","https://eslint.org/docs/latest/rules/max-len","layout","eslint-lwc"
"105","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","9","no-whitespace-before-property","Unexpected whitespace before property catch.","https://eslint.org/docs/latest/rules/no-whitespace-before-property","layout","eslint-lwc"
"106","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","21","object-curly-spacing","There should be no space after '{'.","https://eslint.org/docs/latest/rules/object-curly-spacing","layout","eslint-lwc"
"107","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","22","quote-props","Unquoted property 'base64' found.","https://eslint.org/docs/latest/rules/quote-props","suggestion","eslint-lwc"
"108","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","29","key-spacing","Missing space before value for key 'base64'.","https://eslint.org/docs/latest/rules/key-spacing","layout","eslint-lwc"
"109","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","51","object-property-newline","Object properties must go on a new line.","https://eslint.org/docs/latest/rules/object-property-newline","layout","eslint-lwc"
"110","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","51","quote-props","Unquoted property 'filename' found.","https://eslint.org/docs/latest/rules/quote-props","suggestion","eslint-lwc"
"111","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","56","60","key-spacing","Missing space before value for key 'filename'.","https://eslint.org/docs/latest/rules/key-spacing","layout","eslint-lwc"
"112","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","57","1","indent","Expected indentation of 12 spaces but found 8.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"113","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","57","9","dot-location","Expected dot to be on same line as object.","https://eslint.org/docs/latest/rules/dot-location","layout","eslint-lwc"
"114","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","57","15","arrow-parens","Expected parentheses around arrow function argument.","https://eslint.org/docs/latest/rules/arrow-parens","layout","eslint-lwc"
"115","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","57","25","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"116","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"117","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","13","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"118","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","25","prefer-template","Unexpected string concatenation.","https://eslint.org/docs/latest/rules/prefer-template","suggestion","eslint-lwc"
"119","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","25","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"120","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","58","33","space-infix-ops","Operator '+' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"121","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","59","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"122","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","59","28","space-infix-ops","Operator '=' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"123","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","60","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"124","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","61","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"125","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","61","26","space-infix-ops","Operator '=' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"126","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","61","32","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"127","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","62","1","indent","Expected indentation of 12 spaces but found 8.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"128","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","62","12","newline-per-chained-call","Expected line break before `.catch`.","https://eslint.org/docs/latest/rules/newline-per-chained-call","layout","eslint-lwc"
"129","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","62","19","arrow-parens","Expected parentheses around arrow function argument.","https://eslint.org/docs/latest/rules/arrow-parens","layout","eslint-lwc"
"130","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","62","28","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"131","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","63","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"132","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","63","13","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"133","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","64","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"134","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","65","1","indent","Expected indentation of 16 spaces but found 12.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"135","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","65","29","space-infix-ops","Operator '=' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"136","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","65","37","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"137","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","66","1","indent","Expected indentation of 12 spaces but found 8.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"138","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","66","12","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"139","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","67","1","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"140","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","68","1","indent","Expected indentation of 8 spaces but found 11.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"141","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","68","12","capitalized-comments","Comments should not begin with a lowercase character.","https://eslint.org/docs/latest/rules/capitalized-comments","suggestion","eslint-lwc"
"142","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","68","34","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"143","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","70","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"144","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","70","21","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"145","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","70","28","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"146","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","70","28","space-before-blocks","Missing space before opening brace.","https://eslint.org/docs/latest/rules/space-before-blocks","layout","eslint-lwc"
"147","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","71","47","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"148","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","73","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"149","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","73","15","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"150","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","73","22","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"151","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","73","22","space-before-blocks","Missing space before opening brace.","https://eslint.org/docs/latest/rules/space-before-blocks","layout","eslint-lwc"
"152","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","74","41","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"153","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","76","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"154","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","76","18","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"155","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","76","25","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"156","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","76","25","space-before-blocks","Missing space before opening brace.","https://eslint.org/docs/latest/rules/space-before-blocks","layout","eslint-lwc"
"157","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","77","44","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"158","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","79","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"159","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","79","18","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"160","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","79","25","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"161","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","79","25","space-before-blocks","Missing space before opening brace.","https://eslint.org/docs/latest/rules/space-before-blocks","layout","eslint-lwc"
"162","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","80","44","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"163","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","82","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"164","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","82","22","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"165","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","82","24","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"166","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","82","24","space-before-blocks","Missing space before opening brace.","https://eslint.org/docs/latest/rules/space-before-blocks","layout","eslint-lwc"
"167","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","83","1","max-len","This line has a length of 86. Maximum allowed is 80.","https://eslint.org/docs/latest/rules/max-len","layout","eslint-lwc"
"168","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","83","65","no-multi-spaces","Multiple spaces found before '&&'.","https://eslint.org/docs/latest/rules/no-multi-spaces","layout","eslint-lwc"
"169","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","83","67","space-infix-ops","Operator '&&' must be spaced.","https://eslint.org/docs/latest/rules/space-infix-ops","layout","eslint-lwc"
"170","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","83","84","no-trailing-spaces","Trailing spaces not allowed.","https://eslint.org/docs/latest/rules/no-trailing-spaces","layout","eslint-lwc"
"171","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","83","84","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"172","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","85","5","lines-between-class-members","Expected blank line between class members.","https://eslint.org/docs/latest/rules/lines-between-class-members","layout","eslint-lwc"
"173","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","85","15","space-before-function-paren","Missing space before function parentheses.","https://eslint.org/docs/latest/rules/space-before-function-paren","layout","eslint-lwc"
"174","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","85","17","padded-blocks","Block must be padded by blank lines.","https://eslint.org/docs/latest/rules/padded-blocks","layout","eslint-lwc"
"175","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","85","17","space-before-blocks","Missing space before opening brace.","https://eslint.org/docs/latest/rules/space-before-blocks","layout","eslint-lwc"
"176","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","86","1","indent","Expected indentation of 8 spaces but found 4.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"177","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","86","5","no-console","Unexpected console statement.","https://eslint.org/docs/latest/rules/no-console","suggestion","eslint-lwc"
"178","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","86","17","quotes","Strings must use doublequote.","https://eslint.org/docs/latest/rules/quotes","layout","eslint-lwc"
"179","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","87","1","indent","Expected indentation of 8 spaces but found 5.","https://eslint.org/docs/latest/rules/indent","layout","eslint-lwc"
"180","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","87","6","vars-on-top","All 'var' declarations must be at the top of the function scope.","https://eslint.org/docs/latest/rules/vars-on-top","suggestion","eslint-lwc"
"181","2","1","/home/runner/work/DevVillaTest2/DevVillaTest2/force-app/main/default/lwc/fetchProjectDetails/fetchProjectDetails.js","87","6","no-var","Unexpected var, use let or const instead.","https://eslint.org/docs/latest/rules/no-var","suggestion","eslint-lwc"
